Timestamp,word,造句（请给出一则造句）,备注：,创建时间,词性,出处,Link:,创建用户,解释+出处：,短释义,视频或图片补充
5/26/2021 15:50:59,懂王,看完2016年的美国总统竞选辩论后，小词表示：“没有比特朗普更懂的懂王了。”,（最好后来做个视频集锦）,4/29/2020,"生活, 直播",出自疫情期间网友对特朗普的调侃，来源于他在推特发的一则消息：“没有比我更懂法院了。“,https://jikipedia.com/definition/536291414,fahygao,指美国前总统特朗普。现在形容同类口无遮拦，过度自信，经常对很多领域都表示了解的人。,,
5/26/2021 16:00:42,小丑竟是我自己,小词面对暧昧4年的对象却跟别人在一起的事情表示：“她之前跟我说只对我有感觉的，但小丑竟是我自己。”,,12/23/2020,"生活, 学习, 游戏, 直播",出自网友对2020年网络流行语”高人竟在我身边“的引申，前者表相用来称赞实则嘲讽别人，后者用来自嘲。,https://baike.baidu.com/item/%E5%B0%8F%E4%B8%91%E7%AB%9F%E6%98%AF%E6%88%91%E8%87%AA%E5%B7%B1,fahygao,意为生活不如意却还要努力保持微笑的人，常用来比喻卑微的舔狗。,,https://drive.google.com/open?id=1q1i05JSGDi7w1Q-rwNzdKHIF8g2FHTZh
5/26/2021 16:08:16,耗子尾汁,“年轻人不讲武德、你们耗子尾汁！” --马bao guo,(最好有原视频),1/5/2020,直播,出自浑元形意太极拳掌门人马保国在一次视频中，因为被打展开对两个年轻人的痛斥：“年轻人不讲武德、你们耗子尾汁！”，因为他的人物形象和方言的偏差感颇有喜剧性，被网友疯转。,https://jikipedia.com/definition/161896796,fahygao,“好自为之”的谐音，方言在特定的场合说出来颇有喜感。,,https://drive.google.com/open?id=1oWVQLx9KUgyBb6MPHMWVuHxsQplqIul1
5/26/2021 16:17:16,天空是蔚蓝色，窗外有千纸鹤。,"（情景）：小明终于买到了排队20分钟的冰淇淋，然后在他兴奋跑到妈妈身边的时候，掉到了地上。
此情此景：天空是蔚蓝色，窗外有千纸鹤。",最好有歌曲视频,1/21/2021,"生活, 游戏, 直播, 二次元",出自蜡笔小心的歌曲《Mom》。这句歌词是歌曲的高潮部分，好唱容易记住且旋律悠扬。本来是表达一种悠闲的、淡淡伤感的心境，但很多视频博主将其剪辑到自己的视频里，让观众慢慢体味一下这份淡淡的伤感，从而达到喜剧的节目效果，例如b站up主三十六贱笑（在他的“课堂请勿对对子”系列中频繁出现）。,https://jikipedia.com/definition/511332309,fahygao,形容不符合预期、令人尴尬的事情突然发生。,,https://drive.google.com/open?id=1E2XksA25EfsaEdHHcSxRs9iCmNxOZgsj
5/27/2021 16:35:12,那我走？,小张一直嫌弃自己的小狗长相不如别的狗，终于有一天狗狗说话了：“我丑吗？那我走？”,,5/1/2021,"生活, 其他, 直播",出自一个网友发的视频。该网友与网恋女友初次见面，发现对方长相和照片偏差过大，一时间无法接受。女方随即说：”我很丑吗？那我走？“。,http://www.baidu.com/s?ie=utf-8&f=8&rsv_bp=1&rsv_idx=1&tn=baidu&wd=%E9%82%A3%E6%88%91%E8%B5%B0&fenlei=256&rsv_pq=b557291b0004755a&rsv_t=866a8BtncZ6cXKq8v79JoweM0a9xzXUZVcNNQcKsWOfXmjrwiPHUJlyNmos&rqlang=cn&rsv_enter=1&rsv_dl=tb&rsv_sug3=19&rsv_sug1=1&rsv_sug7=100&rsv_sug2=0&rsv_btype=i&prefixsug=%25E9%2582%25A3%25E6%2588%2591%25E8%25B5%25B0&rsp=4&inputT=3012&rsv_sug4=3013,eriche,表达一种我不想走但我很尴尬可能只能走的意思。,,https://drive.google.com/open?id=1LJbBOi1ul_SYp9C1WYx115Bw2jBbS5qL
5/27/2021 18:55:35,奥利给,“没毛病，干就完事儿了，奥利给！”--冬泳怪哥,,6/1/2016,"生活, 学习, 直播",来自视频软件快手上的“双叶湖雷哥”，在他的视频中都会有“奥利给v给啊”，这么一句口头禅，经过他本人的解释就是给力。 而因为其形象和这句话的搞笑语气，“奥利给”便被粉丝们广泛用在视频中。,https://www.zhihu.com/question/359842818/answer/927565020,ellalala,“给力噢”的倒写，作为感叹词，给力的意思，包含了赞美、加油打气等多种感情色彩。,,视频链接：https://www.bilibili.com/video/BV1R4411G7Tp/?spm_id_from=333.788.recommend_more_video.-1          朝阳冬泳怪鸽：https://www.youtube.com/watch?v=WO8mrVjW0-c
5/27/2021 19:59:53,打工人,明天我就开始搬隔壁村的砖变成打工人了。,（多加些有意思的例句）,9/1/2020,"生活, 工作",出自于社交软件快手上的“抽象带篮子”用户，他用黑色幽默的方式故意吹捧自己打工人、保安、大专生的身份，之后在互联网被广泛运用。,https://baike.baidu.com/item/%E6%89%93%E5%B7%A5%E4%BA%BA/54050409?fr=aladdin,eriche,打工人，为现在很多上班族的自称。一句“你好，打工人！”是年轻人对于生活重担的调侃。,,
5/27/2021 20:09:49,时间管理大师,“时间不在于你拥有多少，而在于你怎样使用。”  ----时间刺客 罗志祥,,4/20/2020,"生活, 饭圈",出自网友讽刺罗志祥与多名女性交往，频繁劈腿归功于其出色时间管理能力。,https://baijiahao.baidu.com/s?id=1670350137915690330&wfr=spider&for=pc,eriche,用来称赞罗志祥先生一流的时间管理能力，并且每件事情都安排的井井有条，保证不撞车。,,
5/27/2021 22:50:40,硬核,小词打滴滴居然打来了一辆卡车，太硬核了。,,4/26/2018,"生活, 学习, 游戏, 直播, 二次元, 国风, 体育, 数码, 饭圈，旧词新义",出自朋克摇滚里最狠的一种风格，后衍生出各种核类音乐；之后出圈，被各圈层的人用来强调很厉害的事物。,https://baike.baidu.com/item/%E7%A1%AC%E6%A0%B8/22543671,fahygao,意为面向核心受众，有一定难度和欣赏门槛的事物。形容很厉害、很酷、很彪悍、很刚硬的事物。,,
5/27/2021 22:54:59,996,小词一直对马云的话念念不忘：“996已经不算什么了，最吓人的是007。”,,2/2/2019,生活,出自2016年10月互联网公司58同城被曝出的全员“996”工作制度。该公司具体规定工作时间从早9点到晚9点，一周上6天班，且没有补贴或者加班费，也不允许请假。,https://baike.baidu.com/item/996%E5%B7%A5%E4%BD%9C%E5%88%B6/19940031?fromtitle=996&fromid=19958311,fahygao,“996”指工作时间从早上9点到晚上9点，一周工作6天，代表着中国互联网企业盛行的加班文化。,,
